Description,TotalSalesDollars,ProfitMargin
12 Days of Pearls Gift Set,369.63000000000017,98.05481156832508
14 Hands Red Blend Ltd,9140.84999999997,43.405700782749776
1800 Select Silver Tequila,1499.5000000000002,85.01300433477826
2 Copas Spain White,119.88,33.33333333333333
20 Mile 09 Brdx Superior,712.3100000000001,55.57832965983912
24 Knots Pnt Nr,5554.049999999961,12.034461339022265
3 Blind Moose Cab Svgn Cal,3322.5999999999894,14.226208391018849
3 Blind Moose Merlot Cal,3375.629999999989,9.678785885893568
3 Blind Moose Pnt Grigio Cal,3693.289999999983,13.941228552320226
4 Orange Vodka,395.82,82.76994593502097
900 Grapes Svgn Bl,59.94,32.43243243243243
A Bichot Adelie Mercury,237.93000000000004,4.1314672382633715
A Bichot Ch Gris Nuits St Ge,353.94,88.50652652992032
A Bichot Chablis Vaucopins,1536.4700000000003,96.1222802918378
A Bichot Merc Champs M,730.83,96.1550565795055
A Bichot Morgon Les Charmes,4652.519999999983,68.83860789421635
A Bichot Petit Chablis,8693.329999999962,33.81535038932119
A Bichot St-Amour Champlette,3064.359999999996,48.23617329556573
Aalto Ribera Del Duero Red,49.99,32.42648529705941
Aberfeldy 21 Yr Single Malt,2079.87,21.393163995826654
Absolut Grapevine Vodka,4834.689999999972,79.39557655196083
Absolut Hibiskus,153.93,27.557980900409284
Absolut Orient Apple Vodka,139.92999999999998,89.41613663974844
Absolut Pears,535.3100000000011,94.95058937811737
Absolut Spark Vodka,22841.260000000075,87.78701350100656
Absolut Wild Tea,1075.7600000000004,86.5258050122704
Achaval Ferrer Quimera,19702.430000000004,0.17277056687931827
Acorn Cve Alegria Russ Syrah,1910.3500000000001,51.60572669929594
Acorn Dolcetto Alegria RRV,2002.3600000000004,35.53107333346653
Acorn Medley Alegria RRV,1263.7099999999996,77.17118642726574
Acumen Moutainside Red Napa,65473.79999999999,13.298983715623644
Adaption by Odette Chard,639.8000000000001,4.587371053454207
Adelsheim Auxerrois Ribbon S,395.8200000000001,51.19498762063566
Adelsheim Bryan Creek Pnt Nr,1329.81,57.89473684210527
Adelsheim Elizbth RSV Pnt Nr,1409.69,36.16114181132022
Adissat Cotes du Rhone,929.3800000000003,86.11009490197766
Adissat Gabrielle Ch du Pape,319.92,49.662415603900975
Adissat Lirac,3718.1399999999912,67.1085542771385
Admiral Nelson Egg Nog,598.1100000000004,84.4811155138687
Alabaster 07 Tinta de Toro,134.99,31.972738721386772
Alain Lorieux Chinon Express,305.83000000000004,35.964424680377995
Alamos Ridge Cab Svgn Mendza,27640.740000000358,2.203956912876777
Alate Kosher Wine,5174.619999999985,8.431923503561368
Albero Sparkling Wh Organic,5.79,28.497409326424876
Alberta Rye Dark Batch,6618.98999999997,90.20061973201345
Alderbrook Pnt Nr RRV,17270.39999999992,90.91451269223639
Alexanders Crown Cab Svgn,3269.5499999999993,48.624122585676915
Alias Chard,670.39,34.80809677948656
Alice White Chard Ausl,28102.05000000031,13.59064552230343
Alice White Shiraz Ausl,16687.749999999807,37.944480232505036
Alize Coco Liqueur,95.94,21.263289555972477
Alize Red Passion,119.94,20.010005002501252
Allegrini Dedicato A Walter,449.94999999999993,22.5780642293588
Allegrini Sondraia,1199.76,48.974794958991794
Alma Negra Gran Almanegra,149.97,77.00873508034941
Alpataco Pnt Nr,751.53,48.60085425731508
Alta Classe Mntplcno Abruzzo,159.79999999999998,19.499374217772214
Alta Vista Malbec Mendoza,97.92,19.485294117647058
Altadonna Nero D'Avola,825.4100000000003,74.62594347051768
Altadonna Vermentino,449.5000000000001,95.86206896551724
Alter Ego de Palmer Mrgx 11,3153.6199999999994,81.08078969565135
Alto Ego De Palmer Margaux,601.9300000000001,90.78298140979848
Altocedro Malbec Reserva,239.92,31.043681227075687
Amapola Creek 09 Cab Svgn,943.84,53.07891167994575
Ame Neyers Cab Svgn Napa,1439.82,4.347765692933849
American Harvest Organic,37727.69000000028,77.15688371089794
Amrut Fusion Single Malt,3404.4899999999966,85.20189514435347
Anakota 11 Helena Montana CS,1679.79,6.687740729495944
Anarkos Puglia,299.76,66.21297037630104
Anastasi Estates Messinia Rd,107.91,55.852098971365024
Ancho Reyes Chile Liqueur,6357.349999999976,35.11227162260981
Andrew Will Two Blondes WA,803.88,33.333333333333336
AnestasiA Vodka,7638.549999999976,67.01991870184776
Angeline Chard Cal,232.19,23.56259959515914
Angelini Sangiovese Pesaresi,1304.1800000000005,10.283089757548828
Angels Envy Hanover Chop,275.94,23.070232659273753
Anterra Chardonnay,4642.189999999972,91.85729149388538
Antigal Uno Cab Mendza,455.7100000000001,53.02714445590397
Antinori Bolgheri Guado,3034.6899999999987,15.32710095594604
Antinori Brnllo Mntlcno Pain,1359.75,48.94208494208494
